fecha,tasa
31/05/2002,15.86
30/06/2002,16.2
31/07/2002,16.19
31/08/2002,16.16
30/09/2002,16.08
31/10/2002,16.08
30/11/2002,16.08
31/12/2002,16.08
31/01/2003,16.08
28/02/2003,16.08
31/03/2003,16.08
30/04/2003,16.12
31/05/2003,16.08
30/06/2003,16.08
31/07/2003,17.97
31/08/2003,19.05
30/09/2003,19.91
31/10/2003,19.89
30/11/2003,20.19
31/12/2003,19.51
31/01/2004,18.86
29/02/2004,19.92
31/03/2004,20.14
30/04/2004,20.19
31/05/2004,19.91
30/06/2004,19.37
31/07/2004,19.2
31/08/2004,18.99
30/09/2004,19.05
31/10/2004,19.14
30/11/2004,19.07
31/12/2004,19.03
31/01/2005,18.92
28/02/2005,18.96
31/03/2005,18.72
30/04/2005,18.72
31/05/2005,18.7
30/06/2005,18.65
31/07/2005,18.6
31/08/2005,18.43
30/09/2005,18.47
31/10/2005,18.44
30/11/2005,18.42
31/12/2005,18.45
31/01/2006,18.15
28/02/2006,17.84
31/03/2006,16.78
30/04/2006,15.39
31/05/2006,15.48
30/06/2006,14.96
31/07/2006,14.5
31/08/2006,14.39
30/09/2006,14.05
31/10/2006,13.88
30/11/2006,14.13
31/12/2006,14.02
31/01/2007,13.91
28/02/2007,14.06
31/03/2007,14.26
30/04/2007,14.27
31/05/2007,14.89
30/06/2007,15.45
31/07/2007,15.41
31/08/2007,15.85
30/09/2007,15.75
31/10/2007,15.69
30/11/2007,15.91
31/12/2007,15.91
31/01/2008,16.04
29/02/2008,16.31
31/03/2008,16.33
30/04/2008,16.5
31/05/2008,16.68
30/06/2008,16.57
31/07/2008,16.55
31/08/2008,16.97
30/09/2008,17.01
31/10/2008,17.03
30/11/2008,17.12
31/12/2008,17.24
31/01/2009,17.24
28/02/2009,16.82
31/03/2009,16.33
30/04/2009,16.31
31/05/2009,15.66
30/06/2009,14.94
31/07/2009,14.7
31/08/2009,14.56
30/09/2009,14.52
31/10/2009,14.33
30/11/2009,14.28
31/12/2009,14.01
31/01/2010,13.7
28/02/2010,13.7
31/03/2010,13.66
30/04/2010,13.62
31/05/2010,13.37
30/06/2010,13.05
31/07/2010,13.03
31/08/2010,13
30/09/2010,12.93
31/10/2010,12.85
30/11/2010,12.81
31/12/2010,12.95
31/01/2011,12.87
28/02/2011,12.86
31/03/2011,12.97
30/04/2011,12.96
31/05/2011,12.82
30/06/2011,12.83
31/07/2011,13.13
31/08/2011,13.07
30/09/2011,13.32
31/10/2011,13.38
30/11/2011,13.19
31/12/2011,12.97
31/01/2012,13.47
29/02/2012,13.54
31/03/2012,13.54
30/04/2012,13.42
31/05/2012,13.42
30/06/2012,13.1
31/07/2012,13.06
31/08/2012,13.25
30/09/2012,13.23
31/10/2012,13.08
30/11/2012,13
31/12/2012,12.91
31/01/2013,12.6
28/02/2013,12.62
31/03/2013,12.18
30/04/2013,12.02
31/05/2013,11.09
30/06/2013,10.82
31/07/2013,10.79
31/08/2013,10.83
30/09/2013,10.82
31/10/2013,10.84
30/11/2013,10.78
31/12/2013,10.82
31/01/2014,10.97
28/02/2014,11.01
31/03/2014,11.03
30/04/2014,11.14
31/05/2014,11.16
30/06/2014,11.27
31/07/2014,11.34
31/08/2014,11.33
30/09/2014,11.11
31/10/2014,11.21
30/11/2014,11.08
31/12/2014,11.05
31/01/2015,10.96
28/02/2015,11.05
31/03/2015,11.01
30/04/2015,10.94
31/05/2015,11.03
30/06/2015,10.95
31/07/2015,10.81
31/08/2015,10.78
30/09/2015,10.7
31/10/2015,10.85
30/11/2015,10.94
31/12/2015,11.04
31/01/2016,11.35
29/02/2016,11.53
31/03/2016,11.68
30/04/2016,11.89
31/05/2016,12.07
30/06/2016,12.19
31/07/2016,12.27
31/08/2016,12.33
30/09/2016,12.41
31/10/2016,12.37
30/11/2016,12.43
31/12/2016,12.43
31/01/2017,12.28
28/02/2017,12.44
31/03/2017,12.3
30/04/2017,12.3
31/05/2017,12.29
30/06/2017,11.94
31/07/2017,11.51
31/08/2017,11.26
30/09/2017,11
31/10/2017,10.87
30/11/2017,10.87
31/12/2017,10.78
31/01/2018,10.67
28/02/2018,10.77
31/03/2018,10.74
30/04/2018,10.66
31/05/2018,10.62
30/06/2018,10.59
31/07/2018,10.58
31/08/2018,10.52
30/09/2018,10.5
31/10/2018,10.47
30/11/2018,10.47
31/12/2018,10.38
31/01/2019,10.38
28/02/2019,10.43
31/03/2019,10.45
30/04/2019,10.38
31/05/2019,10.49
30/06/2019,10.51
31/07/2019,10.44
31/08/2019,10.4
30/09/2019,10.34
31/10/2019,10.35
30/11/2019,10.37
31/12/2019,10.36
31/01/2020,10.34
29/02/2020,10.41
31/03/2020,10.39
30/04/2020,10.3
31/05/2020,10.37
30/06/2020,10.33
31/07/2020,10.34
31/08/2020,10.34
30/09/2020,10.09
31/10/2020,9.88
30/11/2020,9.73
31/12/2020,9.51
31/01/2021,9.43
28/02/2021,9.3
31/03/2021,9.11
30/04/2021,9.04
31/05/2021,8.9
30/06/2021,8.88
31/07/2021,8.88
31/08/2021,8.92
30/09/2021,8.97
31/10/2021,9.01
30/11/2021,9.17
31/12/2021,9.32
31/01/2022,9.35
28/02/2022,9.59
31/03/2022,10.16
30/04/2022,10.74
31/05/2022,11.35
30/06/2022,11.8
31/12/2022,16.94
31/01/2023,17.3
31/03/2023,18.04
30/06/2023,17.5
31/07/2023,17.24
31/08/2023,17.2
30/09/2023,17.07